Method,MH01,MH02,MH03,MH04,MH05,V101,V102,V103,V201,V202,V203,Avg
Monocular
ORB-SLAM,0.071,0.067,0.071,0.082,0.060,0.015,0.020,-,0.021,0.018,-,0.047
DSO,0.046,0.046,0.172,3.810,0.110,0.089,0.107,0.903,0.044,0.132,1.152,0.601
DSM,0.039,0.036,0.055,0.057,0.067,0.095,0.059,0.076,0.056,0.057,0.784,0.126
ORB-SLAM3,0.017,0.017,0.031,0.066,0.044,0.033,0.016,0.037,0.021,0.022,-,0.030
Stereo
ORB-SLAM2,0.035,0.018,0.028,0.119,0.060,0.035,0.020,0.048,0.037,0.035,-,0.044
VINS,0.540,0.460,0.330,0.780,0.500,0.550,0.230,-,0.230,0.200,-,0.424
SVO,0.040,0.070,0.270,0.170,0.120,0.040,0.040,0.070,0.050,0.090,0.790,0.159
ORB-SLAM3,0.025,0.022,0.027,0.089,0.058,0.035,0.021,0.049,0.032,0.027,0.361,0.068
Monocular Inertial
ORB-SLAM VI,0.075,0.084,0.087,0.217,0.082,0.027,0.028,-,0.032,0.041,0.074,0.075
VINS Mono,0.084,0.105,0.074,0.122,0.147,0.047,0.066,0.180,0.056,0.090,0.244,0.110
VI-DSO,0.062,0.044,0.117,0.132,0.121,0.059,0.067,0.096,0.040,0.062,0.174,0.089
ORB-SLAM3,0.032,0.053,0.033,0.099,0.071,0.043,0.016,0.025,0.041,0.015,0.037,0.042
Stereo Inertial
OKVIS,0.160,0.220,0.240,0.340,0.470,0.090,0.200,0.240,0.130,0.160,0.290,0.230
VINS Fusion,0.166,0.152,0.125,0.280,0.284,0.076,0.069,0.114,0.066,0.091,0.096,0.138
BASALT,0.080,0.060,0.050,0.100,0.080,0.040,0.020,0.030,0.030,0.020,-,0.051
Kimera,0.080,0.090,0.110,0.150,0.240,0.050,0.110,0.120,0.070,0.100,0.190,0.119
ORB-SLAM3,0.037,0.031,0.026,0.059,0.086,0.037,0.014,0.023,0.037,0.014,0.029,0.036
